0,1,2,3
Singapore,Restaurants,Edit,Range
Singapore,"Meal, Inexpensive Restaurant",9.53 $,4.40-20.17
Singapore,"Meal for 2 People, Mid-range Restaurant, Three-course",73.34 $,44.00-128.34
Singapore,McMeal at McDonalds (or Equivalent Combo Meal),7.33 $,5.87-8.80
Singapore,Domestic Beer (0.5 liter draught),7.33 $,3.67-11.00
Singapore,Imported Beer (0.33 liter bottle),7.33 $,5.13-13.20
Singapore,Cappuccino (regular),4.50 $,2.41-5.87
Singapore,Coke/Pepsi (0.33 liter bottle),1.56 $,1.10-2.20
Singapore,Water (0.33 liter bottle),1.10 $,0.73-1.83
Singapore,Markets,Edit,
Singapore,"Milk (regular), (1 liter)",3.14 $,1.70-4.77
Singapore,Loaf of Fresh White Bread (500g),2.03 $,1.38-5.13
Singapore,"Rice (white), (1kg)",2.43 $,1.32-3.67
Singapore,Eggs (regular) (12),3.08 $,2.20-4.40
Singapore,Local Cheese (1kg),18.76 $,7.33-44.00
Singapore,Chicken Fillets (1kg),10.98 $,4.40-18.45
Singapore,Beef Round (1kg) (or Equivalent Back Leg Red Meat),20.26 $,8.80-30.80
Singapore,Apples (1kg),4.54 $,2.57-8.80
Singapore,Banana (1kg),3.10 $,2.16-6.47
Singapore,Oranges (1kg),4.05 $,2.20-8.80
Singapore,Tomato (1kg),3.03 $,1.14-5.87
Singapore,Potato (1kg),2.38 $,1.03-4.04
Singapore,Onion (1kg),2.33 $,1.25-4.04
Singapore,Lettuce (1 head),1.96 $,1.10-3.67
Singapore,Water (1.5 liter bottle),1.43 $,0.58-2.57
Singapore,Bottle of Wine (Mid-Range),22.00 $,16.06-36.67
Singapore,Domestic Beer (0.5 liter bottle),3.73 $,2.20-5.87
Singapore,Imported Beer (0.33 liter bottle),4.61 $,2.20-8.07
Singapore,Cigarettes 20 Pack (Marlboro),11.56 $,10.27-17.60
Singapore,Transportation,Edit,
Singapore,One-way Ticket (Local Transport),1.39 $,1.06-1.83
Singapore,Monthly Pass (Regular Price),93.87 $,66.00-102.67
Singapore,Taxi Start (Normal Tariff),3.01 $,2.64-4.40
Singapore,Taxi 1km (Normal Tariff),0.73 $,0.44-1.47
Singapore,Taxi 1hour Waiting (Normal Tariff),14.67 $,9.68-18.33
Singapore,Gasoline (1 liter),2.09 $,1.58-2.42
Singapore,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"131,930.18 $","110,002.93-143,003.81"
Singapore,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"114,666.65 $","104,053.97-132,003.52"
Singapore,Utilities (Monthly),Edit,
Singapore,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",161.76 $,110.00-278.67
Singapore,Mobile Phone Monthly Plan with Calls and 10GB+ Data,15.86 $,8.65-36.67
Singapore,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",34.33 $,27.87-44.00
Singapore,Sports And Leisure,Edit,
Singapore,"Fitness Club, Monthly Fee for 1 Adult",101.46 $,58.67-178.03
Singapore,Tennis Court Rent (1 Hour on Weekend),12.82 $,7.33-18.33
Singapore,"Cinema, International Release, 1 Seat",11.00 $,8.80-14.67
Singapore,Childcare,Edit,
Singapore,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","1,211.62 $","733.35-1,760.05"
Singapore,"International Primary School, Yearly for 1 Child","26,744.11 $","16,867.12-37,089.97"
Singapore,Clothing And Shoes,Edit,
Singapore,1 Pair of Jeans (Levis 501 Or Similar),71.50 $,29.33-109.27
Singapore,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",45.02 $,22.00-73.34
Singapore,1 Pair of Nike Running Shoes (Mid-Range),98.87 $,62.33-146.67
Singapore,1 Pair of Men Leather Business Shoes,121.38 $,72.60-220.01
Singapore,Rent Per Month,Edit,
Singapore,Apartment (1 bedroom) in City Centre,"3,033.71 $","1,833.38-5,118.45"
Singapore,Apartment (1 bedroom) Outside of Centre,"2,170.40 $","1,466.71-3,080.08"
Singapore,Apartment (3 bedrooms) in City Centre,"6,323.85 $","4,033.44-10,120.27"
Singapore,Apartment (3 bedrooms) Outside of Centre,"3,982.10 $","2,566.74-5,866.82"
Singapore,Buy Apartment Price,Edit,
Singapore,Price per Square Meter to Buy Apartment in City Centre,"20,578.97 $","14,208.74-31,574.98"
Singapore,Price per Square Meter to Buy Apartment Outside of Centre,"12,106.89 $","7,893.74-16,133.76"
Singapore,Salaries And Financing,Edit,
Singapore,Average Monthly Net Salary (After Tax),"4,874.45 $",
Singapore,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.56,2.60-4.80
Malaysia,Restaurants,Edit,Range
Malaysia,"Meal, Inexpensive Restaurant",2.54 $,1.48-5.29
Malaysia,"Meal for 2 People, Mid-range Restaurant, Three-course",16.92 $,10.58-42.31
Malaysia,McMeal at McDonalds (or Equivalent Combo Meal),3.60 $,3.17-4.23
Malaysia,Domestic Beer (0.5 liter draught),3.17 $,2.09-5.50
Malaysia,Imported Beer (0.33 liter bottle),4.23 $,2.33-7.40
Malaysia,Cappuccino (regular),2.47 $,1.06-4.02
Malaysia,Coke/Pepsi (0.33 liter bottle),0.61 $,0.42-1.06
Malaysia,Water (0.33 liter bottle),0.35 $,0.21-0.63
Malaysia,Markets,Edit,
Malaysia,"Milk (regular), (1 liter)",1.50 $,1.06-1.90
Malaysia,Loaf of Fresh White Bread (500g),0.77 $,0.58-1.63
Malaysia,"Rice (white), (1kg)",1.08 $,0.53-2.12
Malaysia,Eggs (regular) (12),1.49 $,0.85-2.16
Malaysia,Local Cheese (1kg),11.82 $,4.23-27.50
Malaysia,Chicken Fillets (1kg),3.90 $,1.80-5.29
Malaysia,Beef Round (1kg) (or Equivalent Back Leg Red Meat),7.61 $,3.81-12.48
Malaysia,Apples (1kg),2.20 $,1.06-3.73
Malaysia,Banana (1kg),1.15 $,0.84-2.12
Malaysia,Oranges (1kg),2.42 $,1.06-5.29
Malaysia,Tomato (1kg),1.16 $,0.63-1.90
Malaysia,Potato (1kg),0.77 $,0.42-1.27
Malaysia,Onion (1kg),0.91 $,0.53-1.69
Malaysia,Lettuce (1 head),0.88 $,0.42-1.35
Malaysia,Water (1.5 liter bottle),0.52 $,0.32-0.74
Malaysia,Bottle of Wine (Mid-Range),14.81 $,7.40-21.15
Malaysia,Domestic Beer (0.5 liter bottle),2.33 $,1.27-3.38
Malaysia,Imported Beer (0.33 liter bottle),3.21 $,1.69-5.29
Malaysia,Cigarettes 20 Pack (Marlboro),3.81 $,3.68-5.29
Malaysia,Transportation,Edit,
Malaysia,One-way Ticket (Local Transport),0.63 $,0.42-1.06
Malaysia,Monthly Pass (Regular Price),16.92 $,10.58-31.73
Malaysia,Taxi Start (Normal Tariff),0.85 $,0.63-1.27
Malaysia,Taxi 1km (Normal Tariff),0.63 $,0.26-1.27
Malaysia,Taxi 1hour Waiting (Normal Tariff),4.23 $,3.17-6.35
Malaysia,Gasoline (1 liter),0.44 $,0.42-0.53
Malaysia,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"33,844.53 $","27,498.68-37,017.45"
Malaysia,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"26,845.32 $","25,383.40-29,613.96"
Malaysia,Utilities (Monthly),Edit,
Malaysia,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",42.60 $,25.38-67.74
Malaysia,Mobile Phone Monthly Plan with Calls and 10GB+ Data,8.46 $,8.46-12.69
Malaysia,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",24.99 $,19.04-35.96
Malaysia,Sports And Leisure,Edit,
Malaysia,"Fitness Club, Monthly Fee for 1 Adult",32.54 $,16.92-52.88
Malaysia,Tennis Court Rent (1 Hour on Weekend),5.42 $,3.17-8.46
Malaysia,"Cinema, International Release, 1 Seat",3.81 $,2.86-5.29
Malaysia,Childcare,Edit,
Malaysia,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",155.32 $,95.19-296.14
Malaysia,"International Primary School, Yearly for 1 Child","5,604.07 $","3,172.92-13,749.34"
Malaysia,Clothing And Shoes,Edit,
Malaysia,1 Pair of Jeans (Levis 501 Or Similar),49.02 $,21.15-74.03
Malaysia,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",26.41 $,10.58-52.88
Malaysia,1 Pair of Nike Running Shoes (Mid-Range),62.74 $,31.73-95.19
Malaysia,1 Pair of Men Leather Business Shoes,57.34 $,31.73-105.76
Malaysia,Rent Per Month,Edit,
Malaysia,Apartment (1 bedroom) in City Centre,338.34 $,211.53-634.58
Malaysia,Apartment (1 bedroom) Outside of Centre,245.05 $,148.07-423.06
Malaysia,Apartment (3 bedrooms) in City Centre,626.96 $,"317.29-1,163.41"
Malaysia,Apartment (3 bedrooms) Outside of Centre,395.85 $,211.53-740.35
Malaysia,Buy Apartment Price,Edit,
Malaysia,Price per Square Meter to Buy Apartment in City Centre,"1,797.84 $","1,024.59-3,187.62"
Malaysia,Price per Square Meter to Buy Apartment Outside of Centre,"1,020.33 $","634.58-1,438.98"
Malaysia,Salaries And Financing,Edit,
Malaysia,Average Monthly Net Salary (After Tax),793.27 $,
Malaysia,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.92,3.00-5.00
Indonesia,Restaurants,Edit,Range
Indonesia,"Meal, Inexpensive Restaurant",1.60 $,0.96-3.20
Indonesia,"Meal for 2 People, Mid-range Restaurant, Three-course",15.98 $,9.59-42.18
